ADES,DATE,RWY,C100_SECT,N,N_VALID,A100,REF_20,ADD_TIME
SBRJ,2023-03-20T00:00:00Z,20L,2,74,74,1694.0666666666668,1549.066666666667,144.99999999999997
SBRJ,2023-03-20T00:00:00Z,20L,3,22,22,563.1666666666666,496.8333333333332,66.33333333333334
SBRJ,2023-03-21T00:00:00Z,02R,1,1,1,27.183333333333334,23.516666666666666,3.666666666666668
SBRJ,2023-03-21T00:00:00Z,02R,2,18,18,405.2166666666667,385.8,19.41666666666666
SBRJ,2023-03-21T00:00:00Z,02R,3,5,5,119.06666666666666,115.75,3.31666666666667
SBRJ,2023-03-21T00:00:00Z,20L,1,20,20,584.2500000000001,461.6233333333336,122.62666666666658
SBRJ,2023-03-21T00:00:00Z,20L,2,95,95,2272.966666666667,1988.6666666666683,284.29999999999984
SBRJ,2023-03-21T00:00:00Z,20L,3,39,39,1020.4833333333332,883.7633333333338,136.72000000000008
SBRJ,2023-03-22T00:00:00Z,02R,1,6,6,174.78333333333336,150.67,24.113333333333337
SBRJ,2023-03-22T00:00:00Z,02R,2,22,22,555.9666666666666,471.53333333333336,84.43333333333332
SBRJ,2023-03-22T00:00:00Z,02R,3,11,11,282.96666666666664,254.65000000000003,28.31666666666668
SBRJ,2023-03-22T00:00:00Z,20L,1,16,16,447.18333333333334,370.2100000000002,76.97333333333324
SBRJ,2023-03-22T00:00:00Z,20L,2,87,87,2050.3500000000004,1822.2833333333344,228.06666666666663
SBRJ,2023-03-22T00:00:00Z,20L,3,27,27,721.3333333333333,609.75,111.58333333333337
SBRJ,2023-03-23T00:00:00Z,02R,1,7,7,186.8,164.61666666666667,22.18333333333334
SBRJ,2023-03-23T00:00:00Z,02R,2,35,35,863.2333333333333,750.6666666666661,112.56666666666663
SBRJ,2023-03-23T00:00:00Z,02R,3,14,14,361.45,324.09999999999997,37.35000000000002
SBRJ,2023-03-23T00:00:00Z,20L,1,5,5,169.05,114.2666666666667,54.7833333333333
SBRJ,2023-03-23T00:00:00Z,20L,2,14,14,335.75,295.23333333333335,40.516666666666666
SBRJ,2023-03-23T00:00:00Z,20L,3,9,9,224.9666666666667,206.26333333333335,18.70333333333334
SBRJ,2023-03-24T00:00:00Z,02R,1,1,1,23.266666666666666,23.516666666666666,-0.25
