ADES,DATE,N,N_VALID,SUM_TRAVEL,SUM_REF,CHECK_ADD,SUM_ADD_TIME,OK,AVG_ADD_TIME
SBGL,2023-07-01T00:00:00Z,2230,1654,41679.06666666668,36108.006666666835,5571.059999999988,5571.059999999845,TRUE,3.3682345828294102
SBGL,2023-08-01T00:00:00Z,2291,1694,42262.11666666677,36861.420000000304,5400.696666666672,5400.696666666467,TRUE,3.1881326249506885
SBGL,2023-09-01T00:00:00Z,2120,1532,37227.03333333338,33759.38666666685,3467.6466666666606,3467.646666666529,TRUE,2.263476936466403
SBGL,2023-10-01T00:00:00Z,2683,2205,54958.966666666536,49452.860000001005,5506.106666666652,5506.1066666655315,TRUE,2.497100529100014
SBGL,2023-11-01T00:00:00Z,2924,2489,61125.633333333346,56193.15000000147,4932.483333333329,4932.483333331875,TRUE,1.9817128699605764
SBGL,2023-12-01T00:00:00Z,3785,2998,74411.13333333327,65925.4233333351,8485.710000000015,8485.709999998173,TRUE,2.8304569713136
SBRJ,2023-01-01T00:00:00Z,4965,4923,130022.78333333354,107865.07333333362,22157.70999999999,22157.70999999992,TRUE,4.5008551696120085
SBRJ,2023-02-01T00:00:00Z,4375,4325,119576.48333333324,95077.80000000093,24498.683333333312,24498.6833333323,TRUE,5.664435452793596
SBRJ,2023-03-01T00:00:00Z,4872,4860,124829.64999999985,106403.74666666727,18425.903333333375,18425.90333333258,TRUE,3.7913381344305717
SBRJ,2023-04-01T00:00:00Z,4691,4667,119442.71666666651,102217.543333334,17225.17333333336,17225.17333333251,TRUE,3.6908449396469916
SBRJ,2023-05-01T00:00:00Z,5477,5461,140366.53333333333,119783.14333333328,20583.38999999995,20583.390000000043,TRUE,3.76916132576452
SBRJ,2023-06-01T00:00:00Z,4967,4955,126367.84999999971,108901.38333333372,17466.46666666666,17466.46666666599,TRUE,3.5250184998316834
SBRJ,2023-07-01T00:00:00Z,5258,5247,133240.30000000016,115017.69666666696,18222.60333333334,18222.6033333332,TRUE,3.4729566101263964
SBRJ,2023-08-01T00:00:00Z,5454,5396,138359.71666666737,118204.56333333347,20155.153333333397,20155.153333333903,TRUE,3.7352026192242223
SBRJ,2023-09-01T00:00:00Z,5033,5030,124901.08333333326,110179.9466666671,14721.136666666695,14721.136666666149,TRUE,2.926667329357087
SBRJ,2023-10-01T00:00:00Z,4099,4084,101412.95000000019,89151.6733333344,12261.276666666672,12261.276666665784,TRUE,3.002271465882905
SBRJ,2023-11-01T00:00:00Z,3745,3739,89293.23333333328,81329.37000000148,7963.8633333333455,7963.863333331799,TRUE,2.129944726753624
SBRJ,2023-12-01T00:00:00Z,3161,3160,75163.24999999991,68273.95666666863,6889.293333333342,6889.293333331283,TRUE,2.1801561181428113
SBCF,2023-01-01T00:00:00Z,3899,3121,77800.59999999999,66887.1566666641,10913.443333333355,10913.44333333589,TRUE,3.496777742177472
SBCF,2023-02-01T00:00:00Z,3327,2610,63069.60000000008,55811.713333331725,7257.886666666664,7257.886666668353,TRUE,2.7807994891449628
SBCF,2023-03-01T00:00:00Z,3507,2761,66462.21666666666,58677.89666666462,7784.32000000001,7784.320000002037,TRUE,2.8193842810583254
SBCF,2023-04-01T00:00:00Z,3342,2611,63544.13333333325,55748.40666666496,7795.726666666669,7795.726666668292,TRUE,2.9857244989154696
