APT,PHASE,MOF,MVTS,ADD_TIME,AVG_ADD_TIME
SBSV,ARR,2022-12,2440,3616.7299999999996,1.4822663934426228
SBBR,DEP,2019-01,10578,38593.78999999999,3.648495934959349
SBBR,DEP,2019-02,9316,36552.65,3.9236421210820094
SBBR,DEP,2019-03,5094,21189.38000000001,4.159674126423245
SBBR,DEP,2019-04,4742,19827.87,4.181330662167862
SBBR,DEP,2019-05,4762,17085.100000000002,3.58779924401512
SBBR,DEP,2019-06,4405,14250.600000000002,3.2350964812712832
SBBR,DEP,2019-07,5206,17117.01,3.287938916634652
SBBR,DEP,2019-08,4730,21710.57,4.589972515856236
SBBR,DEP,2019-09,4824,18517.769999999997,3.8386753731343277
SBBR,DEP,2019-10,5071,25421.379999999997,5.013090120291855
SBBR,DEP,2019-11,5040,22393.82,4.443218253968254
SBBR,DEP,2019-12,5082,22571.09,4.44137937819756
SBBR,DEP,2020-01,5264,31493.40000000001,5.982788753799394
SBBR,DEP,2020-02,4601,18573.100000000006,4.036752879808739
SBBR,DEP,2020-03,3630,14547.800000000001,4.007658402203857
SBBR,DEP,2020-04,240,463.60000000000014,1.9316666666666673
SBBR,DEP,2020-05,293,666.7599999999999,2.2756313993174055
SBBR,DEP,2020-06,480,845.1099999999998,1.7606458333333328
SBBR,DEP,2020-07,1093,3421.4500000000007,3.1303293687099734
SBBR,DEP,2020-08,1618,6297.16,3.8919406674907293
SBBR,DEP,2020-09,2421,12422.37,5.131090458488228
SBBR,DEP,2020-10,3094,16641.370000000003,5.378594053005819
SBBR,DEP,2020-11,3051,13643.570000000002,4.471835463782367
SBBR,DEP,2020-12,3645,16090.680000000002,4.41445267489712
SBBR,DEP,2021-01,3604,14487.110000000004,4.019730854605995
SBBR,DEP,2021-02,2710,8463.97,3.123236162361623
SBBR,DEP,2021-03,2342,7400.92,3.160085397096499
SBBR,DEP,2021-04,1683,5327.450000000001,3.165448603683898
SBBR,DEP,2021-05,2292,7021.499999999998,3.0634816753926692
SBBR,DEP,2021-06,2595,8313.07,3.203495183044316
SBBR,DEP,2021-07,3434,10546.97,3.0713366336633663
SBBR,DEP,2021-08,3482,11851.71,3.403707639287765
SBBR,DEP,2021-09,3885,13542.660000000002,3.4858841698841703
SBBR,DEP,2021-10,4003,14464.58,3.613434923807145
SBBR,DEP,2021-11,4154,16011.28,3.8544246509388542
SBBR,DEP,2021-12,4626,18185.1,3.9310635538261995
SBBR,DEP,2022-01,4492,15437.350000000004,3.4366317898486205
SBBR,DEP,2022-02,3465,12736.560000000001,3.6757748917748923
SBBR,DEP,2022-03,3827,14497.229999999998,3.788144760909328
SBBR,DEP,2022-04,3581,13496.029999999999,3.7687880480312757
SBBR,DEP,2022-05,3889,15500.610000000002,3.98575726407817
SBBR,DEP,2022-06,3677,13460.410000000002,3.6607043785694864
SBBR,DEP,2022-07,4464,17997.97,4.031803315412187
SBBR,DEP,2022-08,4389,17870.25,4.0715994531784006
SBBR,DEP,2022-09,4261,18615.750000000004,4.368868810138466
SBBR,DEP,2022-10,4416,17916.279999999995,4.0571286231884045
SBBR,DEP,2022-11,4542,21330.57999999999,4.6962967855570215
SBBR,DEP,2022-12,4756,22662.939999999995,4.765126156433977
SBCF,DEP,2019-01,8418,36863.009999999995,4.37906985032074
SBCF,DEP,2019-02,7536,36752.060000000005,4.8768657112526546
SBCF,DEP,2019-03,3958,16264.92,4.109378473976756
SBCF,DEP,2019-04,3850,17163.579999999998,4.458072727272727
SBCF,DEP,2019-05,3977,17094.300000000003,4.298290168468696
SBCF,DEP,2019-06,3939,17331.090000000004,4.399870525514091
SBCF,DEP,2019-07,4471,21086.88,4.716367702974726
SBCF,DEP,2019-08,4212,19121.969999999998,4.539878917378917
SBCF,DEP,2019-09,4067,14256.759999999997,3.5054733218588634
SBCF,DEP,2019-10,4180,15563.849999999997,3.7234090909090902
SBCF,DEP,2019-11,3920,12594.21,3.2128086734693877
SBCF,DEP,2019-12,4039,14801.630000000001,3.664676900222828
SBCF,DEP,2020-01,4207,18249.379999999994,4.337860708343236
SBCF,DEP,2020-02,3698,11672.040000000003,3.156311519740401
SBCF,DEP,2020-03,2751,7255.1,2.637259178480553
SBCF,DEP,2020-04,257,359.45000000000005,1.39863813229572
SBCF,DEP,2020-05,297,512.36,1.7251178451178453
SBCF,DEP,2020-06,336,232.64000000000007,0.6923809523809525
SBCF,DEP,2020-07,489,371.01000000000005,0.7587116564417179
SBCF,DEP,2020-08,749,649.24,0.8668090787716956
SBCF,DEP,2020-09,1137,1064.14,0.9359190853122252
SBCF,DEP,2020-10,1820,2678.39,1.471642857142857
SBCF,DEP,2020-11,2217,4480.840000000001,2.0211276499774473
SBCF,DEP,2020-12,2702,5481.2,2.0285714285714285
SBCF,DEP,2021-01,3005,5892.85,1.9610149750415975
SBCF,DEP,2021-02,2129,3805.1599999999994,1.7872992015030529
SBCF,DEP,2021-03,2155,3127.71,1.4513735498839908
SBCF,DEP,2021-04,1674,2010.3999999999996,1.2009557945041813
SBCF,DEP,2021-05,1925,2748.07,1.4275688311688313
SBCF,DEP,2021-06,2133,3202.3300000000004,1.5013267698077826
SBCF,DEP,2021-07,2760,5210.000000000001,1.8876811594202902
SBCF,DEP,2021-08,2751,4741.120000000001,1.7234169392948022
SBCF,DEP,2021-09,2986,6056.04,2.028144675150703
SBCF,DEP,2021-10,3047,6156.17,2.020403675746636
SBCF,DEP,2021-11,3076,7519.57,2.4445936280884264
SBCF,DEP,2021-12,3584,11634.349999999999,3.2461914062499995
SBCF,DEP,2022-01,3335,12719.999999999998,3.8140929535232377
SBCF,DEP,2022-02,2761,7465.040000000001,2.7037450199203192
