APT,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)",EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBSV,2019-09,DEP,2293,0,0,0,0,0,0,0,2,3,24,150,517,544,332,180,150,118,68,48,29,23,20,13,13,8,51,667,544,332,330,876,1873
SBSV,2019-10,DEP,2395,0,0,0,0,0,0,0,0,4,17,157,459,508,369,276,165,126,96,52,28,40,28,17,10,7,36,616,508,369,441,877,1934
SBSV,2019-11,DEP,2490,0,0,0,0,1,0,1,1,4,16,173,508,510,374,206,193,126,97,68,36,33,31,17,14,9,72,681,510,374,399,884,1964
SBSV,2019-12,DEP,2791,0,1,0,1,1,1,0,3,6,28,200,557,636,367,238,172,114,115,81,57,32,42,27,17,19,76,757,636,367,410,1003,2170
SBSV,2020-01,DEP,2945,0,0,1,2,0,2,3,9,7,24,229,660,753,426,224,145,125,76,49,39,27,17,18,14,13,82,889,753,426,369,1179,2437
SBSV,2020-02,DEP,2597,2,0,1,0,2,2,1,0,5,22,237,647,715,316,178,112,85,53,35,32,22,16,19,13,9,73,884,715,316,290,1031,2205
SBSV,2020-03,DEP,1820,0,0,0,0,0,0,1,2,2,22,214,493,470,228,119,71,42,35,18,18,16,16,4,4,8,37,707,470,228,190,698,1595
SBSV,2020-04,DEP,180,2,0,0,0,0,0,0,1,5,9,34,38,33,19,12,5,5,2,2,2,0,2,0,0,2,7,72,33,19,17,52,141
SBSV,2020-05,DEP,235,1,0,0,1,0,1,1,1,9,19,47,67,36,24,8,9,3,0,1,0,0,0,1,0,0,6,114,36,24,17,60,191
SBSV,2020-06,DEP,280,0,0,0,1,0,1,2,0,1,12,49,93,46,28,11,9,8,2,2,1,1,1,0,0,0,12,142,46,28,20,74,236
SBSV,2020-07,DEP,495,0,0,0,0,0,0,0,0,1,29,104,159,81,37,16,8,3,11,6,2,2,1,1,0,1,33,263,81,37,24,118,405
SBSV,2020-08,DEP,642,0,0,0,0,0,0,0,2,6,18,177,214,99,33,12,13,8,7,6,2,1,2,3,3,2,34,391,99,33,25,132,548
SBSV,2020-09,DEP,923,0,0,0,0,0,0,1,3,13,43,180,301,179,90,35,24,17,12,4,2,2,0,2,1,2,12,481,179,90,59,269,809
SBSV,2020-10,DEP,1422,3,1,4,2,0,1,2,6,10,51,303,426,305,142,60,37,18,10,9,1,1,2,1,1,0,26,729,305,142,97,447,1273
SBSV,2020-11,DEP,1558,1,0,1,0,0,1,4,2,6,22,192,456,370,159,119,70,42,29,19,16,11,3,6,5,1,23,648,370,159,189,529,1366
SBSV,2020-12,DEP,2099,0,0,0,0,3,3,5,8,9,55,330,587,413,253,122,91,66,46,30,19,7,11,7,5,4,25,917,413,253,213,666,1796
SBSV,2021-01,DEP,2557,1,2,0,1,1,0,0,1,6,39,293,656,584,358,220,135,84,53,33,23,21,7,7,4,2,26,949,584,358,355,942,2246
SBSV,2021-02,DEP,1706,0,0,0,0,0,0,0,1,10,54,329,569,377,154,87,36,29,14,11,8,5,2,4,3,1,12,898,377,154,123,531,1552
SBSV,2021-03,DEP,1500,0,0,0,0,0,0,0,0,3,31,291,535,351,139,69,31,18,8,7,4,0,2,2,0,1,8,826,351,139,100,490,1416
SBSV,2021-04,DEP,870,2,0,1,0,1,0,0,2,5,21,143,287,210,68,44,27,17,11,0,9,1,1,1,0,0,19,430,210,68,71,278,779
SBSV,2021-05,DEP,1128,0,0,1,0,0,1,0,1,5,29,167,401,272,108,54,38,15,5,8,4,3,1,0,2,2,11,568,272,108,92,380,1040
SBSV,2021-06,DEP,1480,0,0,0,0,0,0,1,1,2,24,199,510,349,174,97,47,24,8,10,8,5,3,3,1,0,14,709,349,174,144,523,1376
SBSV,2021-07,DEP,2012,0,0,0,0,0,0,0,0,1,29,274,722,525,211,92,43,31,10,16,7,9,5,5,1,5,26,996,525,211,135,736,1867
SBSV,2021-08,DEP,1814,0,0,0,0,0,0,0,0,2,30,322,610,427,193,91,43,17,17,11,12,6,9,3,1,2,18,932,427,193,134,620,1686
SBSV,2021-09,DEP,2018,0,0,0,0,0,0,0,0,1,29,229,593,508,267,137,70,55,29,25,16,14,5,7,6,1,26,822,508,267,207,775,1804
SBSV,2021-10,DEP,2130,0,0,0,0,0,1,0,0,1,21,244,660,558,251,121,72,55,21,21,14,7,11,11,5,2,54,904,558,251,193,809,1906
SBSV,2021-11,DEP,2207,0,0,0,0,0,0,0,1,1,16,146,527,577,323,177,115,78,54,34,24,19,16,12,7,9,71,673,577,323,292,900,1865
SBSV,2021-12,DEP,2668,0,0,0,0,0,0,0,1,3,22,209,650,633,357,201,137,96,76,54,40,26,18,23,11,9,102,859,633,357,338,990,2187
SBSV,2022-01,DEP,2671,18,0,0,0,0,0,0,0,1,12,174,566,655,391,241,150,107,72,68,39,33,27,20,13,11,73,740,655,391,391,1046,2177
SBSV,2022-02,DEP,2071,12,0,0,0,2,7,3,1,4,22,254,622,526,231,119,70,42,29,23,14,8,9,7,10,3,53,876,526,231,189,757,1822
SBSV,2022-03,DEP,2376,0,0,0,0,1,0,1,3,9,44,315,750,532,268,153,90,53,41,16,17,12,13,5,7,5,41,1065,532,268,243,800,2108
SBSV,2022-04,DEP,2154,0,0,0,0,0,1,0,2,8,37,227,634,539,258,154,72,61,40,25,17,15,9,4,3,4,44,861,539,258,226,797,1884
SBSV,2022-05,DEP,2080,0,0,0,0,1,1,1,3,10,38,307,628,439,236,132,82,41,36,30,11,11,10,12,3,2,46,935,439,236,214,675,1824
SBSV,2022-06,DEP,1999,2,0,0,0,0,2,2,2,7,29,228,600,494,236,137,75,50,33,20,13,4,13,11,6,5,30,828,494,236,212,730,1770
SBSV,2022-07,DEP,2296,0,3,0,1,0,0,1,3,5,24,204,578,580,316,168,115,69,48,34,22,22,9,10,7,9,68,782,580,316,283,896,1961
SBSV,2022-08,DEP,2046,0,0,0,0,0,0,0,3,5,25,159,514,530,301,155,108,59,44,39,32,17,9,6,5,1,34,673,530,301,263,831,1767
SBSV,2022-09,DEP,1933,0,0,0,0,0,3,7,11,14,32,212,501,440,241,127,89,70,40,34,16,18,14,3,11,5,45,713,440,241,216,681,1610
SBSV,2022-10,DEP,1952,2,0,0,0,0,0,3,10,15,33,224,503,427,241,127,89,55,55,23,26,16,12,8,7,5,71,727,427,241,216,668,1611
SBSV,2022-11,DEP,2121,25,0,0,1,1,3,3,10,7,18,112,451,395,290,172,116,105,86,56,49,41,34,26,17,8,95,563,395,290,288,685,1536
SBSV,2022-12,DEP,2421,13,0,0,3,1,3,5,13,17,32,183,463,466,317,161,141,126,91,64,57,47,29,26,21,9,133,646,466,317,302,783,1731
SBSV,2023-01,DEP,2550,2,1,1,2,4,16,15,8,9,22,161,445,471,361,233,172,118,123,90,72,41,30,25,21,14,93,606,471,361,405,832,1843
SBSV,2023-02,DEP,1966,1,0,1,2,3,7,9,8,7,20,116,360,398,237,166,143,107,75,57,48,34,20,20,14,17,96,476,398,237,309,635,1420
